ts_lamport;ts_epoch_ms;nodo;tipo;detalle
1017;1782096156031;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
1018;1782096156031;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
1026;1782096156039;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
1027;1782096156040;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
1033;1782096156046;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
1035;1782096156046;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
1041;1782096156054;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
1043;1782096156057;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
1051;1782096156060;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
1053;1782096156060;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
1057;1782096156071;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
1059;1782096156071;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
1065;1782096156078;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
1067;1782096156079;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
1073;1782096156085;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
1075;1782096156087;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
1081;1782096156093;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
1083;1782096156094;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
1091;1782096156098;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
1093;1782096156099;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
1099;1782096156101;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
1100;1782096156101;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
1106;1782096156107;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
1108;1782096156107;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
1116;1782096156110;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
1118;1782096156111;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
1122;1782096156115;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
1124;1782096156115;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
1130;1782096156118;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
1132;1782096156119;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
1140;1782096156121;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
1141;1782096156121;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
