ts_ms;latencia_ms;exito
1782096162329;141;1
1782096162330;1;1
1782096162467;136;1
1782096162606;139;1
1782096162751;146;1
1782096162890;137;1
1782096162891;1;1
1782096163033;141;1
1782096163181;148;1
1782096163334;153;1
1782096163486;151;1
1782096163487;1;1
1782096163630;142;1
1782096163785;155;1
1782096163939;154;1
1782096164093;153;1
1782096164095;1;1
1782096164278;184;1
1782096164451;172;1
1782096164610;158;1
1782096164769;159;1
1782096164771;2;1
1782096164923;150;1
1782096165036;113;1
1782096165124;88;1
1782096165226;102;1
1782096165228;0;1
1782096165336;108;1
1782096165434;98;1
1782096165529;94;1
1782096165629;100;1
1782096165631;1;1
1782096165721;90;1
1782096165829;108;1
1782096165923;93;1
1782096166000;76;1
1782096166001;0;1
1782096166077;76;1
1782096166155;77;1
1782096166249;94;1
1782096166328;79;1
1782096166329;0;1
1782096166414;86;1
1782096166491;77;1
1782096166576;84;1
1782096166661;83;1
1782096166662;1;1
1782096166740;78;1
1782096166817;77;1
1782096166896;78;1
1782096166989;92;1
1782096166989;0;1
1782096167070;80;1
1782096167161;91;1
1782096167243;81;1
1782096167328;85;1
1782096167329;1;1
1782096167411;82;1
1782096167507;95;1
1782096167603;95;1
1782096167706;103;1
1782096167707;0;1
1782096167797;90;1
1782096167907;109;1
1782096168010;103;1
1782096168108;98;1
1782096168110;1;1
1782096168202;92;1
1782096168303;100;1
1782096168453;150;1
1782096168592;138;1
1782096168593;1;1
1782096168735;141;1
1782096168882;146;1
1782096169013;131;1
1782096169147;134;1
1782096169148;2;1
1782096169284;134;1
1782096169433;149;1
1782096169570;136;1
1782096169705;135;1
1782096169706;1;1
1782096169845;138;1
1782096169992;145;1
1782096170127;136;1
1782096170273;145;1
1782096170275;2;1
1782096170419;144;1
1782096170568;149;1
1782096170728;159;1
1782096170909;179;1
1782096170911;1;1
1782096171084;173;1
1782096171253;169;1
1782096171415;161;1
1782096171584;168;1
1782096171586;3;1
1782096171753;166;1
1782096171913;160;1
1782096172094;180;1
1782096172260;166;1
1782096172262;2;1
1782096172437;174;1
1782096172609;172;1
1782096172787;177;1
1782096172961;173;1
1782096172963;2;1
1782096173135;172;1
1782096173298;162;1
1782096173469;170;1
1782096173644;175;1
1782096173646;2;1
1782096173839;193;1
1782096174046;205;1
1782096174290;244;1
1782096174501;210;1
1782096174503;1;1
1782096174707;203;1
1782096174849;141;1
1782096174985;136;1
1782096175127;142;1
1782096175129;2;1
1782096175263;133;1
1782096175413;151;1
1782096175550;136;1
1782096175692;142;1
1782096175694;1;1
1782096175826;132;1
1782096175965;138;1
1782096176123;158;1
1782096176283;158;1
1782096176284;1;1
1782096176439;154;1
1782096176591;151;1
1782096176741;150;1
1782096176923;181;1
1782096176924;2;1
1782096177082;156;1
1782096177242;160;1
1782096177411;168;1
1782096177584;172;1
1782096177585;1;1
1782096177755;170;1
1782096177918;161;1
1782096178073;155;1
1782096178235;162;1
1782096178238;2;1
1782096178392;154;1
1782096178552;159;1
1782096178722;170;1
1782096178892;169;1
1782096178894;2;1
1782096179065;171;1
1782096179234;168;1
1782096179409;175;1
1782096179588;179;1
1782096179590;2;1
1782096179769;178;1
1782096179949;179;1
1782096180130;181;1
1782096180323;193;1
1782096180327;2;1
1782096180526;199;1
1782096180702;174;1
1782096180880;177;1
1782096181079;199;1
1782096181081;1;1
1782096181268;187;1
1782096181459;190;1
1782096181660;201;1
1782096181872;211;1
1782096181875;3;1
1782096182084;209;1
1782096182289;204;1
1782096182496;206;1
1782096182729;232;1
1782096182732;3;1
1782096182945;212;1
1782096183155;210;1
1782096183391;236;1
1782096183769;378;1
1782096183774;3;1
1782096184006;233;1
1782096184243;235;1
1782096184481;238;1
1782096184781;299;1
1782096184782;1;1
1782096185068;286;1
1782096185383;315;1
1782096185691;307;1
1782096185999;308;1
1782096186004;4;1
1782096186380;375;1
1782096186663;283;1
1782096186949;285;1
1782096187628;679;1
1782096187629;1;1
1782096188552;922;1
1782096189051;499;1
1782096189492;440;1
1782096189689;197;1
1782096189691;2;1
1782096189866;175;1
1782096190069;202;1
1782096190535;465;1
1782096190726;191;1
1782096190727;1;1
1782096190904;176;1
1782096191080;175;1
1782096191575;494;1
1782096191784;210;1
1782096191787;3;1
1782096191978;190;1
1782096192442;465;1
1782096192500;57;1
1782096192559;59;1
1782096192560;0;1
1782096192616;56;1
1782096192674;57;1
1782096192732;57;1
1782096192791;60;1
1782096192793;0;1
1782096192853;60;1
1782096192914;60;1
1782096192982;67;1
1782096193047;66;1
1782096193049;0;1
1782096193462;413;1
1782096193531;69;1
1782096193597;66;1
1782096193672;75;1
1782096193673;0;1
1782096193741;67;1
1782096193809;68;1
1782096193875;65;1
1782096193946;71;1
1782096193947;0;1
1782096194017;70;1
1782096194086;69;1
1782096194437;350;1
1782096194514;77;1
1782096194515;0;1
1782096194587;71;1
1782096194662;73;1
1782096194745;83;1
1782096194821;76;1
1782096194822;0;1
1782096194897;74;1
1782096194975;77;1
1782096195078;103;1
1782096195188;109;1
1782096195188;0;1
1782096195266;77;1
1782096195347;80;1
1782096195426;79;1
1782096195512;86;1
1782096195513;1;1
1782096195593;78;1
1782096195672;79;1
1782096195754;81;1
1782096195842;87;1
1782096195843;1;1
1782096195927;83;1
1782096196012;85;1
1782096196138;125;1
1782096196227;89;1
1782096196228;0;1
1782096196305;77;1
1782096196385;80;1
1782096196467;80;1
1782096196556;89;1
1782096196557;0;1
1782096196643;86;1
1782096196725;81;1
1782096196810;85;1
1782096196897;86;1
1782096196897;1;1
1782096196983;85;1
1782096197075;91;1
1782096197207;132;1
1782096197301;93;1
1782096197301;0;1
1782096197384;82;1
1782096197465;81;1
1782096197554;87;1
1782096197643;90;1
1782096197644;1;1
1782096197730;85;1
1782096197817;86;1
1782096197905;88;1
1782096197999;94;1
1782096198001;2;1
1782096198142;141;1
1782096198228;85;1
1782096198315;86;1
1782096198411;95;1
1782096198412;1;1
1782096198502;90;1
1782096198601;97;1
1782096198691;91;1
1782096198787;95;1
1782096198789;1;1
1782096198881;93;1
1782096198976;94;1
1782096199075;99;1
1782096199231;156;1
1782096199233;1;1
1782096199327;94;1
1782096199432;104;1
1782096199525;92;1
1782096199630;106;1
1782096199631;1;1
1782096199727;95;1
